SampleID,Disease,UMAP1,UMAP2,UMAP3
HCC_230,HCC,6.951606,2.3828807,9.079715
HCC_231,HCC,3.8227355,-9.240427,-5.529484
HCC_232,HCC,6.3039722,3.337624,8.540979
HCC_233,HCC,5.2579355,6.9529214,5.8218446
HCC_234,HCC,12.164855,0.5047011,1.7032766
HCC_235,HCC,7.6029115,2.2398987,10.331855
HCC_236,HCC,5.884972,6.6038694,5.7576566
HCC_237,HCC,7.8409023,1.7903764,10.926217
HCC_238,HCC,3.8387828,-9.224346,-5.5133996
HCC_239,HCC,5.7256427,6.25039,7.1257854
HCC_240,HCC,4.7759304,4.267029,7.6465487
HCC_241,HCC,6.710074,3.6366343,8.688729
HCC_242,HCC,4.558348,5.601616,6.1524725
HCC_243,HCC,5.2414956,6.9732213,5.80388
HCC_244,HCC,7.6066146,2.187012,10.387656
HCC_245,HCC,7.8787003,2.226181,8.566517
HCC_246,HCC,8.729018,-0.0039177653,8.396698
HCC_247,HCC,4.550887,6.8601522,6.3152447
HCC_248,HCC,4.7718344,4.218699,7.629235
HCC_249,HCC,4.8667336,4.317281,7.681538
HCC_250,HCC,9.479901,5.819788,7.320308
HCC_251,HCC,3.8726187,-9.190541,-5.4795957
HCC_252,HCC,1.572741,8.145031,12.1146345
HCC_253,HCC,4.659498,5.4632425,6.3215184
HCC_254,HCC,6.9226537,2.5259936,9.964538
HCC_255,HCC,8.869843,0.10209826,8.27438
HCC_256,HCC,8.062033,0.77113324,7.0792937
HCC_257,HCC,3.028698,3.8181694,7.1026835
HCC_258,HCC,10.070525,6.139299,8.905843
HCC_259,HCC,7.7620063,2.3700984,11.34315
HCC_260,HCC,1.528783,8.163488,12.158811
HCC_261,HCC,8.733602,1.0213201,7.5774703
HCC_262,HCC,8.058712,0.78284436,7.0800195
HCC_263,HCC,7.5950394,2.1766458,10.450029
HCC_264,HCC,10.240258,9.797062,-2.8207016
HCC_265,HCC,4.9021907,7.0117016,5.918137
HCC_266,HCC,1.5866044,8.133177,12.100866
HCC_267,HCC,9.261488,6.2572365,8.79719
HCC_268,HCC,10.752767,5.8177633,8.789966
HCC_269,HCC,3.830546,-9.232679,-5.521735
HCC_270,HCC,1.5496296,8.123513,12.139906
HCC_271,HCC,5.339881,5.5996594,7.9843955
HCC_272,HCC,8.871961,0.1982126,8.339119
HCC_273,HCC,6.688855,4.9982524,6.9568686
HCC_274,HCC,7.5543995,2.268733,10.231588
HCC_275,HCC,7.010205,2.0931478,8.704202
HCC_276,HCC,2.9918914,3.9076529,7.183243
HCC_277,HCC,3.0201752,3.87425,7.146634
HCC_278,HCC,10.741997,5.8035855,8.790932
HCC_279,HCC,7.5855064,2.2294376,10.248271
HCC_280,HCC,5.6991887,6.2369294,7.129541
HCC_281,HCC,4.5487003,5.601742,6.188797
HCC_282,HCC,1.5985457,8.104801,12.088467
HCC_283,HCC,7.8840146,2.2083538,8.568172
HCC_284,HCC,4.2810526,6.7951827,6.951239
HCC_285,HCC,6.9096475,3.3355837,9.661974
HCC_286,HCC,9.905483,8.32455,6.527953
HCC_287,HCC,9.914567,7.6937475,9.824274
HCC_288,HCC,12.2747755,0.54163975,1.742061
HCC_289,HCC,7.0500836,2.0677876,8.672704
HCC_290,HCC,7.0182405,2.0879025,8.709139
HCC_291,HCC,6.912265,3.3215973,9.629817
HCC_292,HCC,5.0454397,4.3608,7.981726
HCC_293,HCC,4.724802,4.22495,7.6548843
HCC_294,HCC,7.8098435,1.8398273,10.865653
HCC_295,HCC,1.5300432,8.164293,12.157488
HCC_296,HCC,10.725572,5.8348713,8.768703
HCC_297,HCC,8.692591,0.9596176,7.554846
HCC_298,HCC,7.02643,2.0656748,8.714963
HCC_299,HCC,8.824574,0.13664778,8.2579775
HCC_300,HCC,7.8780136,1.8045473,10.989623
